Case Number,Account Name,Person Type,message,Score,Review,Correct/Incorrect
TS001474677,Phadia AB,Customer,"I'll try to produce a ORDRSP and attach it to the case
//HP?
",-0.5378026831126542,,
TS002170637,"Polycom, Inc.",Customer,"i dont have the name of the code list.  i dont see your file in the attachments section
",-0.7396850359797784,,
TS001529916,Tesla Motors,Customer,"Hi Albert

Test transmission is failing in VAN sent by the TP. Could you please check.

Process ID : 24925315


Regards,
Arjun
",-0.629161039329244,,
TS001803786,Atalanta Corporation,Customer,"yes for every time we end PP as UM the PO4 needs to be there. 
Was that your question if so once the changes are done you can send to production.
",-0.6628585306894306,,
TS001850415,Lindt & Sprüngli International AG,Customer,"Great. Thanks. I'll send a dummy file validating the connection. 

Best, 
Hamed
",0.9921734115340622,,
TS001961135,Leggett & Platt Incorporated,Customer,"Hello Sabiya,

When testing with one of our trade partners they are sending (^) delimiters in their inbound documents however when I look it up in CTE they have been transformed to (*) delimiters causing some errors to occur. Is this a setup problem on our side or are these documents coming in from OpenText this way?
Process ID: ?15609227

Thanks,
Colin Nichols
",0.6260503578766259,,
TS002105074,Fluidmaster Inc,Customer,"I have updated the PER file with approver's name.  The approval was obtained from Melissa by email.?
",-0.5991206585546761,,
TS001850415,Lindt & Sprüngli International AG,Customer,"I added the previous comment too fast. As lang as you using the PROD ID ""FL_LNT_P6T4GNT"" it should work well. 
PLease confirm whcih ID you are using the I'll send a dummy filevalidating the connection. 
Thanks,
Hamed
",-0.6816306127697817,,
TS001529916,Tesla Motors,Customer,"Hi Albert,

TP has resent the information. Attached the transmission logs along with the transmitted file.

Regards,
Arjun
",0.5725008483099667,,
TS001922699,Premier Farnell Ltd.,Customer,"Approved by Craig Sherburn via attached email

Regards
Andre Hill
",-0.8486957851769126,,
TS002105150,Kennametal Inc,Customer,"Hi Dave,
Could you please upload documentation, the link expired.
LINK: https://www.secure.ecurep.ibm.com/download/?id=XvAWa5vHFpXpV3Gy7RnlrxBg2OfqOwJvLGQOoe4oWa4
",-0.7065422857544296,,
TS001850415,Lindt & Sprüngli International AG,Customer,"Great, thanks for your quick support. 

Which ID are you going to use for this PROD connection? I think if you are using PROD - FL_LNT_P6T4AGNT , then it should be fine.

Thanks, 
Hamed 
",0.6590746092228379,,
TS001985818,Innovative Hearth Products,Customer,"Thanks . Do you know why the 997 response from CUI for this document are failing. Process IDs are 1414651057 and 1414816112. We are testing both 810 and 856 simultaneously so I am posting both process IDs as I am note sure which one to post here.

Is this something from our side that needs to be corrected or from the sender?
",-0.7718739169722749,,
